location_name,neighbourhood,sub_category,legend_category,address,ai_description,quirky_title,geometry,longitude,latitude
Bageterie Boulevard,Karlín,fast food,eat,"Sokolovská 49, Praha 8","Feeling hungry and tempted by fast food? Forget about McDonald's and KFC, we have a better alternative in the Czech Republic! Here you'll find a wide variety of hot and cold sandwiches with various flavors. You're sure to find something you like. There are also many other treats available, all within a few minutes and at a good price. A reliable place for breakfast or a late ""dinner"" (daily 8:00 AM–12:00 AM, Fri & Sat till 1:00 AM). You can find BB branches all over the city, e.g. also at Železná 7.",Gourmet on the Go,POINT (14.4454233 50.0928637),14.4454233,50.0928637
HolKa footbridge,Holešovice,saturday fund-it game,slow down (mind the details),Štvanická lávka,,FUND-IT game spot,POINT (14.4458541 50.0971907),14.4458541,50.0971907
Trafo Gallery,Holešovice,saturday fund-it game,see,"Bubenské nábřeží 13, Praha 7",,FUND-IT game spot,POINT (14.4477902 50.09881650000001),14.4477902,50.0988165
Jatka78,Holešovice,saturday fund-it game,go out,"Hall 7 and 8, Bubenské nábř. 13, Praha 7","Jatka78 is an alternative venue for contemporary circus, theater, dance and other. Their main circus company, called La Putyka, perform on their venue here, called Jatka78. You can enter to have a look! Holešovice's market had multiple lives : from a former slaughterhourse (""Jatka"" in Czech) to mainly Vietnamese market, it turns more and more to a cultural hotspot today.",Holešovická tržnice - FUND-IT game spot,POINT (14.4465109 50.1001136),14.4465109,50.1001136
Tràng An,Holešovice,saturday fund-it game,enjoy vietnamese culture,"Bubenské nábřeží 13, building n°5, Praha 7","Tràng An is one of the oldest Vietnamese restaurants established in Prague in 1998. His chef was one the first to offer a Phô soup, and Czechs liked it so much that it inspired many others to do the same. Now, Prague is known for its good Vietnamese restaurants all around town!

Take a picture of it in front of the restaurant! :)",[ACT LIKE A LOCAL CHALLENGE],POINT (14.4459245 50.0993687),14.4459245,50.0993687
Vrrrátnice,Holešovice,bar,drink,"Bubenské nábřeží 13, Praha 7",,FUND-IT game spot,POINT (14.4457885 50.0984641),14.4457885,50.0984641
Humanita,Holešovice,saturday fund-it game,slow down (mind the details),"Bubenská, Praha 7",,FUND-IT game spot,POINT (14.4376874 50.09763119999999),14.4376874,50.0976312
Skatepark Vltavská,Holešovice,saturday fund-it game,see,"Bubenská, Praha 7",,FUND-IT game spot,POINT (14.4376967 50.0981467),14.4376967,50.0981467
Strossmayerovo nám. 978/3,Holešovice,saturday fund-it game,slow down (mind the details),"Strossmayerovo nám. 978/3, Praha 7",,FUND-IT game spot,POINT (14.4341432 50.0989896),14.4341432,50.0989896
Národní galerie Praha – Veletržní palác,Holešovice,saturday fund-it game,see,"Dukelských Hrdinů 47, Praha 7",,FUND-IT game spot,POINT (14.4326413 50.1018276),14.4326413,50.1018276
Cukrárna U Hrdinů,Holešovice,saturday fund-it game,try czech delicacy,"Dukelských Hrdinů 36, Praha 7","Get a sugar rush on a cukrárna (patisserie) and try one of our poppy specialties (makový). Or our national chlebíček, an open sandwich with different types of toppings. Try it!
Take a picture or a video of you eating them :)",[ACT LIKE A LOCAL CHALLENGE],POINT (14.4332176 50.10184809999999),14.4332176,50.1018481
Dukelských hrdinů,Holešovice,saturday fund-it game,slow down (mind the details),"Dukelských hrdinů, Praha 7",,FUND-IT game spot,POINT (14.4332847 50.1001264),14.4332847,50.1001264
Acid Coffee,Holešovice,saturday fund-it game,drink,"Dukelských hrdinů 25a, Praha 7",,FUND-IT game spot,POINT (14.4325933 50.0983695),14.4325933,50.0983695
Kostel svatého Klimenta,Holešovice,saturday fund-it game,see,"Kostelní 1, Praha 7",,FUND-IT game spot,POINT (14.4319378 50.0973948),14.4319378,50.0973948
Playground's horses (FUND-IT game),Holešovice,saturday fund-it game,speak like a local,"Letenské sady, Praha 7","Even if you can read ""Holešovice"" on most of the neighbourhood's red plates, not everyone is happy about it. In fact, Holešovice corresponds to the eastern part of Prague 7, with an industrial past. The part around the park is called Letná, and their citizens like to claim their specificity. ""We are Letná citizens, not Holešovice!"" 
They even have a nickname to call the inhabitants of the Eastern side of the train tracks : ""mokřad"" that means ""wetlanders"".
Try to repeat it and call your fellow teammates this way :)",[ACT LIKE A LOCAL CHALLENGE],POINT (14.425651 50.0959571),14.425651,50.0959571
Letná park & Prague metronom,Holešovice,saturday fund-it game,go out,"nábř. E. Beneše, Praha 7",,,POINT (14.4159406 50.094744),14.4159406,50.094744
ZAU & Bun Cha,Holešovice,vegan/vegeterian,enjoy vietnamese culture,"Dělnická 17, Praha 7",,,POINT (14.4465982 50.10330259999999),14.4465982,50.1033026
Chlebíčky Letná,Holešovice,"bakery, snack",try czech delicacy,"Milady Horákové 42, Praha 7","Try here our national open-face sandwich, chlebíčky! Migh seem simple at first sight, but after tasting them getting to know them, you can fall in love easily! As many Czechs are!",A Loooot of Bread and Spread,POINT (14.4271379 50.1000069),14.4271379,50.1000069
Pekárna Kabát,Holešovice,"bakery, snack",try czech delicacy,"Milady Horákové 73, Praha 7",,,POINT (14.4237151 50.09990209999999),14.4237151,50.0999021
Bageterie Boulevard,Holešovice,fast food,eat,"Letenské náměstí 6, Praha 7","Feeling hungry and tempted by fast food? Forget about McDonald's and KFC, we have a better alternative in the Czech Republic! Here you'll find a wide variety of hot and cold sandwiches with various flavors. You're sure to find something you like. There are also many other treats available, all within a few minutes and at a good price. A reliable place for breakfast or a late ""dinner"" (daily 8:00 AM–12:00 AM, Fri & Sat till 1:00 AM). You can find BB branches all over the city, e.g. also at Železná 7.",Gourmet on the Go,POINT (14.424437 50.100135),14.424437,50.100135
Bageterie Boulevard,Holešovice,fast food,eat,"Dukelských Hrdinů 16, Praha 7","Feeling hungry and tempted by fast food? Forget about McDonald's and KFC, we have a better alternative in the Czech Republic! Here you'll find a wide variety of hot and cold sandwiches with various flavors. You're sure to find something you like. There are also many other treats available, all within a few minutes and at a good price. A reliable place for breakfast or a late ""dinner"" (daily 8:00 AM–12:00 AM, Fri & Sat till 1:00 AM). You can find BB branches all over the city, e.g. also at Železná 7.",Gourmet on the Go,POINT (14.4334812 50.09964299999999),14.4334812,50.099643
elpíčko,Libeň,goodbye party,conference,"Zenklova 305/11, Praha 8",,,POINT (14.4730704 50.1039408),14.4730704,50.1039408
